stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Proyectos3ciclo\AED\tf\AllegroTemp\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.15450] added dtor for sub_bitmap 04935DD0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15454] added dtor for sub_bitmap 04935F48, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15459] added dtor for sub_bitmap 049360C0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15464] added dtor for sub_bitmap 04936238, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15469] added dtor for sub_bitmap 049363B0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15474] added dtor for sub_bitmap 04936528, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15478] added dtor for sub_bitmap 049366A0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15483] added dtor for sub_bitmap 04936818, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15490] added dtor for sub_bitmap 049369B8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15495] added dtor for sub_bitmap 04936B30, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15500] added dtor for sub_bitmap 04937578, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15505] added dtor for sub_bitmap 04937110, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15509] added dtor for sub_bitmap 049376F0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15514] added dtor for sub_bitmap 04937288, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15517] added dtor for sub_bitmap 04937400, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15521] added dtor for sub_bitmap 04936CA8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15525] added dtor for sub_bitmap 04936E20, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15528] added dtor for sub_bitmap 04936F98, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15533] added dtor for sub_bitmap 04939720, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15537] added dtor for sub_bitmap 049379C0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15541] added dtor for sub_bitmap 049392B8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15545] added dtor for sub_bitmap 04939430, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15549] added dtor for sub_bitmap 04938CD8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15553] added dtor for sub_bitmap 049389E8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15557] added dtor for sub_bitmap 04938870, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15561] added dtor for sub_bitmap 04938118, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15566] added dtor for sub_bitmap 04937FA0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15570] added dtor for sub_bitmap 04937B38, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15575] added dtor for sub_bitmap 04938E50, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15579] added dtor for sub_bitmap 04938FC8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15583] added dtor for sub_bitmap 04937CB0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15588] added dtor for sub_bitmap 04937E28, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15593] added dtor for sub_bitmap 049386F8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15598] added dtor for sub_bitmap 04938B60, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15602] added dtor for sub_bitmap 04938290, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15607] added dtor for sub_bitmap 049395A8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15611] added dtor for sub_bitmap 04938408, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15616] added dtor for sub_bitmap 04938580, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15621] added dtor for sub_bitmap 04939140, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15626] added dtor for sub_bitmap 0493B128, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15630] added dtor for sub_bitmap 0493BCE8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15635] added dtor for sub_bitmap 0493AFB0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15639] added dtor for sub_bitmap 0493ACC0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15643] added dtor for sub_bitmap 0493BE60, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15647] added dtor for sub_bitmap 0493BFD8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15651] added dtor for sub_bitmap 0493AE38, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15655] added dtor for sub_bitmap 0493B418, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15659] added dtor for sub_bitmap 0493B2A0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15663] added dtor for sub_bitmap 0493A9D0, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15668] added dtor for sub_bitmap 0493AB48, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15672] added dtor for sub_bitmap 0493C150, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15676] added dtor for sub_bitmap 0493B590, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15681] added dtor for sub_bitmap 0493B708, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15685] added dtor for sub_bitmap 0493B880, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15689] added dtor for sub_bitmap 0493C2C8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15693] added dtor for sub_bitmap 0493B9F8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15697] added dtor for sub_bitmap 0493BB70, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15702] added dtor for sub_bitmap 0493C440, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15708] added dtor for sub_bitmap 0493C5B8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15712] added dtor for sub_bitmap 0493C730, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15718] added dtor for sub_bitmap 0493E7E8, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15723] added dtor for sub_bitmap 0493EF40, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15727] added dtor for sub_bitmap 0493E960, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15731] added dtor for sub_bitmap 0493E090, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15736] added dtor for sub_bitmap 0493D358, func 0FDC2252
dtor     D               dtor.c:196  _al_register_destructor          [   0.15741] added dtor for sub_bitmap 0493EAD8, func 0FDC2252
