stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Documents\Universidad\Cursos\3erCiclo\Progra3\TF\AllegroTemp\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.06208] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06211] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06214] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06217] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06220] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06223] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06226] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06229] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06233] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06235] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06239] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06241] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06245] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06251] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06254] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06263] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06265] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06267] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06270] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06272] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06275] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06277] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06280] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06282] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06285] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06287] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06290] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06292] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06295] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06297] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06300] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06302] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06308] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06311] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
